Наименование,Адрес,Широта,Долгота,Телефоны,Адрес сайта
Запчасти у Насти,"Центральный район, Тула, 300045, Новомосковское шоссе, 60",https://2gis.ru/tula/geo/5067185235972177,tel:+79207827206,,Новые и б/у запчасти для авто и грузовиков
"Emex, интернет-магазин","Центральный район, Тула, 300045, Рязанская, 54",https://2gis.ru/tula/geo/5067185236039025,tel:+79066220602,http://emex.ru,Федеральная сеть по продаже автозапчастей. Вовремя и по оптовым ценам — реклама
OSZZ,"Центральный район, Тула, 300045, Кауля, 10",https://2gis.ru/tula/geo/5067185235957803,tel:+74872522513,http://oszz.ru,85% всех автозапчастей для японских авто в наличии — реклама
"Автопрофи, центр технического обслуживания","Красный перекоп, Центральный район, Тула, 300012, Кауля, 45 к1",https://2gis.ru/tula/geo/5067185235959124,tel:+79605989808,http://автопрофи.рус,"Автозапчасти для иномарок. В наличии и под заказ. Гарантия, возврат — реклама"
A & Z,"Привокзальный район, Тула, 300026, Калужское шоссе, 20",https://2gis.ru/tula/geo/5067185236036062,tel:+79997841717,,Защита кузова от разрушения. Работаем без выходных — реклама
"Волга, магазин автотоваров","Мясново пос., Привокзальный район, Тула, 300005, Павшинский мост, 3а",https://2gis.ru/tula/geo/5067185235954489,tel:+74872214031,,Масла и автохимия: большой выбор по суперценам — реклама
Приват,"Центральный район, Тула, 300026, проспект Ленина, 105",https://2gis.ru/tula/geo/5067185235960931,tel:+74872657317,,1000 запчастей для Рено и Ларгуса уже на складе! Приезжай и забирай — реклама
Тяжеловоз 2001,"Мясново пос., Привокзальный район, Тула, 300005, Павшинский мост, 2",https://2gis.ru/tula/geo/5067185235953933,tel:+74872384585,,"Детали для грузовых авто. Двигатель, подвеска, тормоза, кузов. Заказ — реклама"
Автомобильный супермаркет,"Куруловка, Зареченский район, Тула, 300022, Октябрьская, 296а",https://2gis.ru/tula/geo/5067185235959642,tel:+74872750391,,"Масла, технические жидкости, автохимия, автоэмали, грунты — реклама"
АвтоГАЗ,"Центральный район, Тула, 300045, Новомосковское шоссе, 19",https://2gis.ru/tula/geo/5067185235953858,tel:+79109438191,,"Газель, УАЗ, Волга, Газон, Валдай, Cummins. Новые и б/у запчасти — реклама"
Транзит,"Киреевский район, Тульская область, трасса М-4 225 км, 1 ст2",https://2gis.ru/tula/geo/70030076242424326,tel:+79509065324,,"Мелкий и капремонт, автомойка, шиномонтаж. Внимание каждому элементу! — реклама"
Всегда запчасти,"Северно-Западный м-н, Щекино, Тульская область, 301246, Пирогова, 43",https://2gis.ru/tula/geo/5067185235980013,tel:+79036595700,,Заказ автозапчастей без предоплаты. Три доставки в день — реклама
Гарант-Авто71,"Центральный район, Тула, 300045, Новомосковское шоссе, 54",https://2gis.ru/tula/geo/5067185235953823,tel:+74872790124,,"Диагностика, ремонт КПП от 1 дня. Удаление катализаторов бесплатно — реклама"
АвтоМаг,"Центральный район, Тула, 300045, проезд Некрасова, 6",https://2gis.ru/tula/geo/5067185236029286,tel:+79038434600,,Сезонные летние скидки на покраску и кузовной ремонт! — реклама
Гараж,"Центральный район, Тула, 300045, Кауля, 82",https://2gis.ru/tula/geo/5067185235960090,tel:+79202705005,,"Диагностика двигателя, ходовой, КПП. Шиномонтаж. 3D-сход-развал! — реклама"
Заботливый сервис,"Зареченский район, Тула, 300044, Луначарского, 134",https://2gis.ru/tula/geo/5067185235974689,tel:+79308982720,http://caring-service.com,Федеральная сеть автосервисов с гарантией 2 года на запасные части — реклама
Авточемпион,"Верхнее Криволучье, Пролетарский район, Тула, 300021, Кутузова, 48",https://2gis.ru/tula/geo/5067185235963421,tel:+74872462452,,"Автозапчасти для ВАЗа, ГАЗа, иномарок. Автомасла/автоаксессуары/химия — реклама"
"Tula Scan, грузовой автосервис","Мясново пос., Привокзальный район, Тула, 300024, Одоевское шоссе, 95/2",https://2gis.ru/tula/geo/5067185235956108,tel:+74872714505,,Ремонт и замена коробки передач в грузовых авто и спецтехнике Scania — реклама
РВД-Сервис,"Центральный район, Тула, 300041, Пионерская, 65",https://2gis.ru/tula/geo/5067185235957322,tel:+74872584038,http://rvd-servis.ru,Рукава напорные маслобензостойкие. Производство России и Европы
Дакар,"Центральный район, Тула, 300045, Новомосковское шоссе, 13",https://2gis.ru/tula/geo/5067185235970584,tel:+74872774999,,
Техком+,"Пролетарский район, Тула, 300001, Карла Маркса, 54а",https://2gis.ru/tula/geo/5067185235970039,tel:+74872408040,http://tehkom-avto.ru,
Респект авто,"Горелки пос., Зареченский район, Тула, 300901, Большая, 1а",https://2gis.ru/tula/geo/5067185235959129,tel:+74872755755,http://respectavto.com,
AvtoAll,"Рогожинский пос., Центральный район, Тула, 300012, Станиславского, 37а",https://2gis.ru/tula/geo/5067185235970962,tel:+74872245605,,
Респект авто,"Центральный район, Тула, 300026, Николая Руднева, 46",https://2gis.ru/tula/geo/5067185235972563,tel:+74872755755,http://respectavto.com,
